Model,dataset,Morphology,Operation,Kernel Size,DPSGD,epsilon,synthetic_data,shadow_threshold
NestedUNet,UMNData,False,,,True,0.5,False,0.25552166084281536
NestedUNet,UMNData,True,open,3,True,0.5,False,0.2605914541152345
NestedUNet,UMNData,False,,,True,0.5,False,0.2553653336372696
NestedUNet,UMNData,True,both,3,True,0.5,False,0.25695180141625285
NestedUNet,UMNData,True,open,3,True,0.1,False,0.2553204468318394
NestedUNet,UMNData,True,close,3,True,8.0,False,0.2557839085074032
NestedUNet,UMNData,False,,,True,0.1,False,0.2561237033174819
NestedUNet,UMNData,True,open,3,True,0.5,False,0.25576182623871235
NestedUNet,UMNData,False,,,True,0.1,False,0.25543290852498607
NestedUNet,UMNData,True,close,3,True,0.5,False,0.25566646281410665
NestedUNet,UMNData,False,,,True,0.5,False,0.25572246012567473
NestedUNet,UMNData,True,open,3,True,0.1,False,0.25559592422317057
NestedUNet,UMNData,True,open,3,True,0.5,False,0.2559996650499456
NestedUNet,UMNData,True,close,3,True,0.5,False,0.2556576891606595
NestedUNet,UMNData,False,,,True,0.5,False,0.2555282699460743
NestedUNet,UMNData,True,open,3,True,0.5,False,0.25564147970255685
NestedUNet,UMNData,True,close,3,True,0.5,False,0.25997844438592926
NestedUNet,UMNData,True,both,3,True,0.5,False,0.25643640180595784
NestedUNet,UMNData,False,,,True,0.1,False,0.2555506146755539
NestedUNet,UMNData,True,close,3,True,0.5,False,0.2559854798958081
NestedUNet,UMNData,True,close,3,True,0.5,False,0.25567149014032187
NestedUNet,UMNData,True,open,3,True,8.0,False,0.25798697807207827
NestedUNet,UMNData,True,both,3,True,0.1,False,0.2617638298944265
NestedUNet,UMNData,True,both,3,True,0.5,False,0.25687680099190785
NestedUNet,UMNData,True,close,3,True,0.1,False,0.2571876627557418
NestedUNet,UMNData,True,close,3,True,0.5,False,0.25586014560290743
NestedUNet,UMNData,True,close,3,True,0.1,False,0.2572633118188682
NestedUNet,UMNData,True,close,3,True,0.5,False,0.2556847934963323
NestedUNet,UMNData,True,both,3,True,0.1,False,0.25619484296365946
NestedUNet,UMNData,True,open,3,True,0.5,False,0.25559054302568196
NestedUNet,UMNData,True,both,3,True,0.5,False,0.2605071503575109
NestedUNet,UMNData,True,both,3,True,0.5,False,0.2592145848174055
NestedUNet,UMNData,False,,,True,8.0,False,0.2554719190136725
NestedUNet,UMNData,True,open,3,True,0.5,False,0.2566343373110314
NestedUNet,UMNData,False,,,True,0.1,False,0.25559523526360006
NestedUNet,UMNData,True,close,3,True,0.1,False,0.25523022556004404
NestedUNet,UMNData,True,both,3,True,8.0,False,0.2573104656043173
NestedUNet,UMNData,True,both,3,True,8.0,False,0.2566756761374594
NestedUNet,UMNData,True,open,3,True,0.5,False,0.25604864654420806
