Model,Morphology,Operation,Kernel Size,DPSGD,epsilon,loss_mem,loss_non_mem,true_label
NestedUNet,True,open,3,False,,"[0.84648347 0.86379391 0.82410771 0.82589138 0.81642419 0.7950182
 0.80713981 0.8030138  0.80152726 0.80672967 0.82659912 0.79724157
 0.80773997 0.81602061 0.79363233 0.80891961 0.82105792 0.81491292
 0.8155967  0.80995512 0.8017363  0.81897867]","[0.84699076 0.83640242 0.88257742 0.8606177  0.82248068 0.88215166
 0.84858686 0.83133775 0.83181149 0.87692082 0.82768559 0.82470572
 0.81475925 0.83907175 0.81926858 0.81530112 0.85487354 0.87098634
 0.82355636 0.86896032 0.84871536 0.88064617]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.80625015 0.80733478 0.7986691  0.80209768 0.83774543 0.80854422
 0.82589024 0.80337679 0.79860592 0.8024478  0.81264144 0.81243241
 0.79810464 0.80206007 0.8087284  0.80397832 0.80660659 0.813344
 0.81218761 0.78745383 0.81835473 0.7877751 ]","[0.86022389 0.84149677 0.85686213 0.84971297 0.82694721 0.85705328
 0.87223476 0.83459592 0.83627474 0.88588125 0.81944025 0.8268038
 0.82177436 0.83818477 0.82216311 0.82322282 0.86168545 0.88504207
 0.82278931 0.84891433 0.84550411 0.87213057]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,False,,"[0.78677666 0.81397867 0.80086535 0.79985273 0.80900109 0.80317706
 0.80611885 0.79103649 0.79434693 0.80415767 0.84511971 0.8034516
 0.79525453 0.79343617 0.83183604 0.79374588 0.81022298 0.79231876
 0.79876488 0.81375235 0.82839805 0.81707644]","[0.87177479 0.84507251 0.88647473 0.88080835 0.82712615 0.87884486
 0.86051202 0.84183508 0.84380281 0.89592129 0.82711673 0.83938384
 0.82642746 0.86584026 0.82669032 0.8211894  0.85689819 0.86711532
 0.83461773 0.85467529 0.87128341 0.87112421]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,True,0.1,"[3.32032323 3.33353996 3.3507967  3.33296418 3.3077302  3.34249043
 3.31646824 3.32182741 3.33590126 3.34620738 3.32217598 3.33227754
 3.32096958 3.33765006 3.30508089 3.35573769 3.34648538 3.35884953
 3.3319242  3.31550241 3.32602859 3.32963252]","[3.36652732 3.34842825 3.34916449 3.35255098 3.31327224 3.33613062
 3.32707024 3.34928441 3.34426069 3.33955669 3.35156822 3.32420516
 3.30192971 3.32424688 3.31344604 3.3342557  3.32897401 3.32118297
 3.34154058 3.36081576 3.3589139  3.34551764]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.79289216 0.79140049 0.8171441  0.83204776 0.82346076 0.79204202
 0.82675207 0.80355781 0.8298099  0.81511378 0.80574036 0.78077513
 0.81516618 0.81999898 0.81036764 0.86939776 0.80249941 0.81277764
 0.79699004 0.84403861 0.81929553 0.84279895]","[0.86561173 0.84504986 0.90824229 0.86270165 0.82103151 0.86605203
 0.84604496 0.84850299 0.82962799 0.92771405 0.83821839 0.83136302
 0.81651205 0.86745882 0.81714892 0.8121562  0.85212988 0.88704634
 0.8301633  0.87140858 0.85103667 0.89037967]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,False,,"[0.93819952 0.88590068 0.8331489  0.84986854 0.86140168 0.81310338
 0.81884128 0.83158332 0.83429545 0.87045825 0.82576805 0.92282069
 0.86105776 0.85435009 0.86714035 0.84342331 0.84252536 0.85565829
 0.87272394 0.85928655 0.82044482 0.84206593]","[0.8529731  0.83176982 0.85747993 0.84786636 0.82104713 0.84228051
 0.85316491 0.88228071 0.83051282 0.85347903 0.82471251 0.81930566
 0.81137305 0.83813369 0.81023097 0.80845284 0.83053273 0.84830201
 0.8223421  0.83208197 0.83975697 0.85376322]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.79533142 0.79907113 0.7913394  0.78877538 0.79655343 0.78102225
 0.78553414 0.79642862 0.80727518 0.77914011 0.79211372 0.77749747
 0.80139822 0.78662127 0.78344238 0.78608245 0.79273176 0.80966234
 0.80644786 0.80264246 0.79249597 0.78438759]","[0.86505431 0.85487449 0.89887357 0.86494792 0.84291279 0.86626983
 0.87390029 0.85903502 0.85184789 0.9239645  0.83236712 0.83933282
 0.82893479 0.86047816 0.82834208 0.81719685 0.8674081  0.88049406
 0.835464   0.85638493 0.86328602 0.87740332]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,False,,"[0.95444667 0.90815401 0.83715785 0.83036852 0.8374629  0.9217205
 0.85138816 0.85769355 0.81519663 0.86817813 0.87250364 0.81292295
 0.81430835 0.83805722 0.90967333 0.88930976 0.83840561 0.82023907
 0.85549122 0.83824939 0.86367869 0.86520195]","[0.84319687 0.82871085 0.8572014  0.84468639 0.82046604 0.84679693
 0.85290599 0.85537267 0.82550174 0.85304117 0.81471598 0.8163898
 0.81540036 0.82737833 0.8140139  0.80836618 0.83083063 0.86080456
 0.82250071 0.84194845 0.8392731  0.84036714]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,True,0.5,"[2.31513429 2.41912794 2.30991817 2.33704042 2.36023283 2.34670138
 2.33926368 2.32272696 2.31481647 2.35516024 2.4427824  2.33427787
 2.31492853 2.31903291 2.31448936 2.38638973 2.32222843 2.32929325
 2.38623381 2.34134054 2.38704944 2.31146717]","[2.29353142 2.3341403  2.31095243 2.34246898 2.29841185 2.32237005
 2.30926895 2.31776166 2.32321453 2.30683231 2.32161713 2.30054569
 2.29770517 2.2891655  2.29591393 2.2978034  2.32863355 2.29253292
 2.30615902 2.29054117 2.30660582 2.33574104]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,False,,"[0.83759063 0.81745124 0.78976798 0.80792266 0.80090326 0.8011167
 0.82092953 0.78410822 0.78879309 0.8000387  0.79257774 0.79910034
 0.81392467 0.79683602 0.79057986 0.82555181 0.78324842 0.79347157
 0.79718345 0.80149227 0.83230555 0.80365646]","[0.87057292 0.84385276 0.89688134 0.87182814 0.82754803 0.89928901
 0.88560355 0.84145653 0.85047269 0.92388451 0.83773744 0.82563955
 0.83746409 0.83925587 0.82473683 0.82228523 0.86707145 0.90943521
 0.84259087 0.86053848 0.86530018 0.89410394]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
