member_mean,member_std,member_median,member_min,member_max,non_member_mean,non_member_std,non_member_median,non_member_min,non_member_max,ks_stat,ks_p_value,mw_stat,mw_p_value,Model,Morphology,Operation,Kernel Size,DPSGD,epsilon
0.2686990071688929,0.007742434212214705,0.26985888183116913,0.2383991777896881,0.3019089698791504,0.2677001134762841,0.006741448393630277,0.26992323994636536,0.24255071580410004,0.2838323712348938,0.08870967741935484,0.7159063496668648,7941.0,0.6732099674175989,NestedUNet,False,,,True,200.0
0.2685869577671251,0.007857295108720998,0.27007241547107697,0.23556789755821228,0.2936263680458069,0.26714083203865635,0.00896258377743616,0.27010421454906464,0.21710945665836334,0.2785853147506714,0.0967741935483871,0.6090000088775671,8129.0,0.7827833145821832,NestedUNet,False,,,True,200.0
0.26882061218061754,0.008632616211192486,0.2701209485530853,0.23864203691482544,0.3127058148384094,0.2684854127226337,0.009876098004176045,0.27005602419376373,0.23684833943843842,0.3399505019187927,0.07258064516129033,0.9014463109527215,8066.0,0.7486007794662239,NestedUNet,True,close,3,True,200.0
0.2694323694994373,0.007349955928787429,0.26970531046390533,0.23753663897514343,0.3063870966434479,0.2682444995209094,0.010245815929662712,0.2695752829313278,0.24287042021751404,0.3517538905143738,0.16129032258064516,0.07936465968200286,8892.5,0.9835508537422828,NestedUNet,True,close,3,True,200.0
0.2700892344357506,0.007485346144665224,0.26965515315532684,0.24208247661590576,0.3029123842716217,0.2671889053477395,0.0067931540191019605,0.2695516347885132,0.23445238173007965,0.27862632274627686,0.1774193548387097,0.04016029903677628,9242.5,0.9970470353746561,NestedUNet,False,,,True,200.0
0.2683645433956577,0.007516082942600991,0.2700853645801544,0.23232385516166687,0.2917930483818054,0.2674632086869209,0.00849422475790247,0.27007660269737244,0.22606882452964783,0.2923155128955841,0.12903225806451613,0.2539329564816052,7796.0,0.5761631492971395,NestedUNet,False,,,True,200.0
0.26810789000122776,0.006946630132884088,0.26981009542942047,0.2335045039653778,0.28712955117225647,0.26703919578463803,0.009207506489160048,0.26967911422252655,0.24015699326992035,0.30556464195251465,0.14516129032258066,0.14679114089728007,8309.0,0.8643988890506374,NestedUNet,False,,,True,200.0
0.27827606302115226,0.014970375167544061,0.27347907423973083,0.2662881314754486,0.34819892048835754,0.27742515888906294,0.010809697013839692,0.27363890409469604,0.2687179744243622,0.3351578116416931,0.08064516129032258,0.8169812931669315,7506.0,0.37398167030118856,NestedUNet,False,,,True,8.0
0.2685211207116804,0.00848738578955208,0.26976272463798523,0.23729194700717926,0.3069179356098175,0.26980895681246636,0.011559877745542397,0.26975129544734955,0.24268129467964172,0.3348065912723541,0.0967741935483871,0.6090000088775671,7413.0,0.3134933640952794,NestedUNet,False,,,True,200.0
0.26800480929593884,0.0076694389060177285,0.2696257084608078,0.2355712503194809,0.2867833375930786,0.2674123988516869,0.0064669065711563745,0.26962877810001373,0.24065791070461273,0.2911135256290436,0.14516129032258066,0.14679114089728007,8406.0,0.898318128899281,NestedUNet,True,close,3,True,200.0
0.26747058476171187,0.008875958474483903,0.2699647545814514,0.23524677753448486,0.29761433601379395,0.26762416682416396,0.00647128656846176,0.26987387239933014,0.23867005109786987,0.2863091826438904,0.12096774193548387,0.3254292034384443,8232.0,0.8324715365040116,NestedUNet,True,open,3,True,200.0
0.26885331506209986,0.00749173522748408,0.2698344886302948,0.23946169018745422,0.29575130343437195,0.26752999172576014,0.006182113889411773,0.2697596848011017,0.24129877984523773,0.28273266553878784,0.12903225806451613,0.2539329564816052,8527.0,0.9313926357693845,NestedUNet,True,open,3,True,200.0
0.2774220837220069,0.012809511926712789,0.2729693502187729,0.26529037952423096,0.3600118160247803,0.27664921673074844,0.012533084350634842,0.272503599524498,0.26445433497428894,0.3530016541481018,0.11290322580645161,0.40944268111769516,8356.0,0.8816957793515163,NestedUNet,False,,,True,8.0
0.26858531924024703,0.00530010753585148,0.26965324580669403,0.24097779393196106,0.2910742163658142,0.2682313748425053,0.006351358190951245,0.2696756571531296,0.24293239414691925,0.29767200350761414,0.13709677419354838,0.19471101264309332,7999.5,0.7096498853908215,NestedUNet,True,close,3,True,200.0
0.27791615815893295,0.010316915536478755,0.27399909496307373,0.27022701501846313,0.33160772919654846,0.27863845950172794,0.012817582656621073,0.2748010903596878,0.2716088891029358,0.3703266382217407,0.12903225806451613,0.2539329564816052,6947.0,0.09493314717721585,NestedUNet,True,close,3,True,8.0
0.2680487164085911,0.006674180329160438,0.2695583552122116,0.24016337096691132,0.28892770409584045,0.2679709770506428,0.009140023623524823,0.26958754658699036,0.2289898544549942,0.3103056252002716,0.12903225806451613,0.2539329564816052,7764.5,0.554215904841865,NestedUNet,True,close,3,True,200.0
0.26909050609796276,0.009893539570723867,0.2697356641292572,0.23457768559455872,0.33084332942962646,0.2684761965947767,0.009128948351069642,0.26976168155670166,0.2400199919939041,0.31280913949012756,0.0967741935483871,0.6090000088775671,7538.0,0.3956304976142796,NestedUNet,True,open,3,True,200.0
0.26877080360727923,0.006462869789239005,0.2702287286520004,0.24385163187980652,0.2951362729072571,0.26780361802347247,0.007299651371194882,0.2703135758638382,0.23933802545070648,0.28117987513542175,0.10483870967741936,0.5049573602047861,7909.0,0.6525232303061534,NestedUNet,True,close,3,True,200.0
0.28307749258895076,0.017764092625729686,0.27620118856430054,0.2723887860774994,0.3728533089160919,0.28078136689239935,0.013116590124372413,0.27582934498786926,0.2726705074310303,0.3424341082572937,0.13709677419354838,0.19471101264309332,7883.0,0.6353705383600393,NestedUNet,True,close,3,True,8.0
