member_mean,member_std,member_median,member_min,member_max,non_member_mean,non_member_std,non_member_median,non_member_min,non_member_max,ks_stat,ks_p_value,mw_stat,mw_p_value,Model,Morphology,Operation,Kernel Size,DPSGD,epsilon
1.078879329291257,0.053161150332586886,1.0608780980110168,1.018870234489441,1.2375460863113403,1.057994089343331,0.03939677265316801,1.0457915663719177,1.020986795425415,1.188133716583252,0.36363636363636365,0.10926173289185331,316.0,0.9598294769812221,NestedUNet,False,,,True,200.0
1.0774553634903647,0.0531444360358529,1.0597271919250488,1.0189439058303833,1.227805495262146,1.0598688504912637,0.05841161354929327,1.0418715476989746,1.01132071018219,1.2608782052993774,0.3181818181818182,0.21836842129025597,318.0,0.963725371389758,NestedUNet,False,,,True,200.0
1.0554997433315625,0.04798120210201027,1.0355627536773682,1.008043646812439,1.215489149093628,1.044572887095538,0.04378664778090448,1.0245903730392456,0.996248185634613,1.1842455863952637,0.3181818181818182,0.21836842129025597,299.0,0.911440035339826,NestedUNet,False,,,True,200.0
1.0782955072142861,0.05059658384098087,1.070575475692749,1.0189580917358398,1.2470073699951172,1.0521792281757703,0.04363652342232833,1.0346000790596008,1.0098683834075928,1.1850727796554565,0.45454545454545453,0.020047233548095234,347.0,0.9933635552119688,NestedUNet,False,,,True,200.0
1.0899203257127241,0.0623456244856716,1.0603677034378052,1.0184296369552612,1.2379878759384155,1.0704716606573625,0.05726649980592552,1.0560947060585022,1.0173418521881104,1.2720341682434082,0.22727272727272727,0.6323860678195116,294.0,0.8910838853813637,NestedUNet,False,,,True,200.0
1.0635772537101398,0.06834579566719202,1.0453608632087708,0.9928609132766724,1.231431007385254,1.020842495289716,0.03221216883552251,1.0165176391601562,0.9852581024169922,1.1005275249481201,0.36363636363636365,0.10926173289185331,347.0,0.9933635552119688,NestedUNet,False,,,True,200.0
1.060404273596677,0.06303481471654082,1.03057199716568,1.001822590827942,1.2049628496170044,1.0211400606415488,0.028066372103448832,1.0114176273345947,0.9910067915916443,1.1008684635162354,0.4090909090909091,0.04934690960468394,352.0,0.9952528832327626,NestedUNet,True,close,3,True,200.0
1.0888867053118618,0.05641385082583626,1.0736587047576904,1.02298903465271,1.2407960891723633,1.0742655396461487,0.08764419173318995,1.0321099758148193,1.0178463459014893,1.3676892518997192,0.45454545454545453,0.020047233548095234,337.0,0.9875075403824681,NestedUNet,True,open,3,True,200.0
1.06567321582274,0.054493623163617236,1.0442809462547302,1.005163311958313,1.208235263824463,1.0405991348353298,0.04049263717238545,1.0302654504776,1.0014824867248535,1.159238338470459,0.3181818181818182,0.21836842129025597,316.0,0.9598294769812221,NestedUNet,True,both,3,True,200.0
1.0921604850075461,0.07492519515360362,1.054542899131775,1.0206292867660522,1.2821669578552246,1.0593006448312239,0.04855755804712089,1.0371150374412537,1.0079255104064941,1.2236847877502441,0.4090909090909091,0.04934690960468394,325.0,0.9750000184045984,NestedUNet,False,,,True,200.0
1.056858393278989,0.05288544309984185,1.038798451423645,0.9996522665023804,1.196068286895752,1.02936790748076,0.05073023607630537,1.012151837348938,0.9877965450286865,1.2172931432724,0.5,0.007289903434428559,358.0,0.9968768236792518,NestedUNet,False,,,True,200.0
3.067252278327942,0.022938566143138633,3.0674655437469482,3.0148143768310547,3.108323574066162,3.068130363117565,0.02430126843264446,3.0696624517440796,3.0256967544555664,3.1172008514404297,0.13636363636363635,0.9900571661472556,240.0,0.4859565669766532,NestedUNet,False,,,True,0.1
2.7395641803741455,0.02274192489021036,2.7429386377334595,2.700530529022217,2.7820281982421875,2.731485139239918,0.016769718613434646,2.730013132095337,2.695990562438965,2.76586651802063,0.3181818181818182,0.21836842129025597,294.0,0.8910838853813637,NestedUNet,True,close,3,True,0.1
3.0091494863683526,0.024425182641051143,3.005360960960388,2.9759788513183594,3.0608909130096436,3.015949075872248,0.02291950336593233,3.015554666519165,2.9714629650115967,3.0651798248291016,0.2727272727272727,0.39373973565829246,198.0,0.1536131850340976,NestedUNet,True,open,3,True,0.1
1.0901878530328923,0.05078020859969481,1.0735257863998413,1.0409071445465088,1.225089192390442,1.0698311654004184,0.059044007366261024,1.045320212841034,1.022047519683838,1.2531647682189941,0.4090909090909091,0.04934690960468394,334.0,0.9850426489332075,NestedUNet,True,close,3,True,200.0
1.082872049375014,0.06596059152989706,1.0496016144752502,1.0119690895080566,1.2555432319641113,1.05109563740817,0.031091481841324764,1.0438610911369324,1.013063669204712,1.1363260746002197,0.36363636363636365,0.10926173289185331,305.0,0.9319551383285242,NestedUNet,True,close,3,True,200.0
3.040463003245267,0.052358141272592806,3.0368252992630005,2.9681906700134277,3.1454501152038574,3.050004395571622,0.04978859985162509,3.041512608528137,2.9761147499084473,3.1479010581970215,0.18181818181818182,0.8716786642836207,214.0,0.2593025082143628,NestedUNet,True,both,3,True,0.1
2.669915210116993,0.013669939364417199,2.667747378349304,2.6511354446411133,2.6975948810577393,2.6680905277078804,0.013607748921400419,2.6682695150375366,2.6388120651245117,2.687495231628418,0.18181818181818182,0.8716786642836207,240.0,0.4859565669766532,NestedUNet,False,,,True,0.5
2.761984944343567,0.01711901289073685,2.7595895528793335,2.722259759902954,2.7857859134674072,2.761142145503651,0.01497302676675308,2.7607754468917847,2.726656436920166,2.7865865230560303,0.18181818181818182,0.8716786642836207,251.0,0.5882283359277591,NestedUNet,True,close,3,True,0.5
