config,max_memory_used_MB,dcgm_avg_GPUTL,dcgm_avg_GRACT,dcgm_avg_SMACT,dcgm_avg_SMOCC,dcgm_avg_FP64A,dcgm_avg_FP32A,dcgm_avg_FP16A,dcgm_avg_TENSO,dcgm_avg_MCUTL,dcgm_avg_DRAMA,dcgm_avg_PCITX,dcgm_avg_PCIRX,dcgm_avg_NVLTX,dcgm_avg_NVLRX,dcgm_avg_POWER,dcgm_avg_TOTEC
FCN8s_Duke_eps8_bs16_dpFalse_k3_opboth,23186,17.6882745471878,0.15232983794089625,0.13230600571973303,0.06333746425166821,0.0,0.020979980934223073,0.0,0.03820114394661581,9.360343183984748,0.07037273593898954,363821104.6835081,23184331.128693994,0.0,0.0,104.40551477597793,258698379705.11917
FCN8s_Duke_eps8_bs16_dpFalse_k3_opclose,23186,17.3,0.14959904761904771,0.1292923809523809,0.06072380952380952,0.0,0.021559047619047648,0.0,0.03845142857142859,8.526666666666667,0.06844666666666668,364645870.2990476,22795942.192380954,0.0,0.0,104.98994476190563,258918590131.84094
FCN8s_Duke_eps8_bs16_dpFalse_k3_opopen,23186,17.404580152671755,0.15050572519083968,0.1281803435114503,0.05979770992366409,0.0,0.021153625954198476,0.0,0.038226145038167965,8.613549618320612,0.06783778625954197,358079688.5706107,23556657.53816794,0.0,0.0,102.12766125954282,258808702491.3626
FCN8s_Duke_eps8_bs16_dpTrue_k3_opboth,35742,31.60552570990023,0.2987198772064463,0.21925402916346917,0.10005141980046038,0.0,0.09300153491941668,0.0,0.029308518802762865,13.610897927858787,0.10672985418265538,291811937.28856486,20997618.359938603,0.0,0.0,126.169765924789,258234345784.51343
FCN8s_Duke_eps8_bs16_dpTrue_k3_opclose,35742,31.483024691358025,0.2919251543209878,0.21904938271604893,0.0982337962962962,0.0,0.09220679012345676,0.0,0.02994521604938272,13.122685185185185,0.10262114197530868,290614271.7785494,20637428.861882716,0.0,0.0,124.44130941358004,258561632168.43518
FCN8s_Duke_eps8_bs16_dpTrue_k3_opopen,35742,31.832948421862973,0.29510084680523463,0.21842340261739823,0.09833872209391827,0.0,0.09494534257120861,0.0,0.02977598152424944,13.289453425712086,0.10412933025404149,291781438.23017704,20926871.299461123,0.0,0.0,125.5205365665896,258398553951.5227
FCN8s_UMN_eps8_bs16_dpFalse_k3_opboth,23142,44.44133099824869,0.4255512259194397,0.3770901926444831,0.1806383537653242,0.0,0.06080166374781065,0.0,0.1113577057793345,26.51488616462347,0.20705954465849397,201536157.1650613,70170921.86602452,0.0,0.0,168.5071492994737,257183325420.736
FCN8s_UMN_eps8_bs16_dpFalse_k3_opclose,23142,43.92398945518453,0.4237451669595782,0.3693651142355009,0.17651362038664342,0.0,0.060909490333918945,0.0,0.10983304042179258,26.11115992970123,0.20625527240773303,201256998.51801407,70273089.66739894,0.0,0.0,170.6668154657278,257958015433.43628
FCN8s_UMN_eps8_bs16_dpFalse_k3_opopen,23142,44.007456140350875,0.4247456140350877,0.3699144736842111,0.17684210526315802,0.0,0.061070175438596296,0.0,0.10996798245614045,26.103947368421053,0.20667982456140346,204471476.00701755,70463287.42280702,0.0,0.0,171.77459780701633,257571053735.82367
FCN8s_UMN_eps8_bs16_dpTrue_k3_opboth,38350,64.26934325977133,0.6324235575644784,0.4897731986173891,0.22446689710183534,0.0,0.19531906407870248,0.0,0.06889577240095707,29.897633608082955,0.2335312416910389,123472954.18133475,45918125.07790481,0.0,0.0,194.05359904280724,255155554043.3273
FCN8s_UMN_eps8_bs16_dpTrue_k3_opclose,36778,64.16927982992293,0.6304241296837627,0.48690831783151844,0.22232686686154665,0.0,0.1956167951102843,0.0,0.06852644166888142,29.708477278766942,0.23204331650279023,122124972.52591018,45540995.268668614,0.0,0.0,193.6828599521662,256621180942.45523
FCN8s_UMN_eps8_bs16_dpTrue_k3_opopen,36778,64.60074428495481,0.6299460393407768,0.48572886762360346,0.2221026049973422,0.0,0.19483811802232875,0.0,0.06860154173312068,29.738437001594896,0.23231738437001534,123706922.12466773,46127159.74109516,0.0,0.0,194.12622913344032,255887989859.1478
LFUNet_Duke_eps8_bs16_dpFalse_k3_opboth,10068,30.552710843373493,0.3014216867469881,0.21889006024096389,0.09090813253012056,0.0,0.0034743975903614335,0.0,0.09177108433734932,13.015060240963855,0.10818674698795192,297866000.66566265,38409301.10993976,0.0,0.0,141.90385843373525,270412093920.54517
LFUNet_Duke_eps8_bs16_dpFalse_k3_opclose,9568,29.80030257186082,0.2940998487140696,0.21969742813918314,0.08846596066565811,0.0,0.003482602118003013,0.0,0.09497428139183055,12.573373676248108,0.10253403933434194,300163252.20272315,38009769.74583964,0.0,0.0,137.24525718608228,270598262338.39185
LFUNet_Duke_eps8_bs16_dpFalse_k3_opopen,9568,30.326283987915406,0.2910453172205438,0.21829456193353486,0.08763897280966766,0.0,0.003531722054380656,0.0,0.0946601208459215,12.558912386706949,0.10139123867069488,299310446.092145,37848575.498489425,0.0,0.0,138.2314169184296,270505512973.9426
LFUNet_Duke_eps8_bs16_dpTrue_k3_opboth,25272,55.19642857142857,0.5401212406015038,0.41687124060150316,0.17352349624060145,0.0,0.19318327067669175,0.0,0.05804511278195481,21.31766917293233,0.16844924812030082,496566088.6719925,2496748458.013158,0.0,0.0,179.6664718045116,269886425507.7049
LFUNet_Duke_eps8_bs16_dpTrue_k3_opclose,24772,54.86685552407932,0.5375542965061372,0.41187063267233265,0.17000188857412646,0.0,0.19101416430594895,0.0,0.058854579792256854,21.100094428706328,0.16595089707271019,494726009.9499528,2490434998.21152,0.0,0.0,180.51910953729924,270269802428.91974
LFUNet_Duke_eps8_bs16_dpTrue_k3_opopen,24772,54.83443085606773,0.5392097836312332,0.4145766698024459,0.17095108184383806,0.0,0.19064440263405447,0.0,0.05832361241768577,21.17873941674506,0.16663593603010332,493628923.5324553,2497903700.7968016,0.0,0.0,180.57880432737534,270078404144.12418
LFUNet_UMN_eps8_bs16_dpFalse_k3_opboth,9522,58.00532172230285,0.5584349298500241,0.45593565553942966,0.18649395258829213,0.0,0.006792936623125264,0.0,0.19738171262699578,26.77552007740687,0.20898548621190066,138097670.6990808,76037502.7194001,0.0,0.0,200.78185679729035,268758303623.9342
